Twitter Users,Retweeted User,Retweets,Generation,User followers
HegKong,EssexPR,782,1,32032
ChildrensHD,RobertKennedyJr,772,1,79077
ritamollerpalma,JackPosobiec,770,1,5335
ClareCraigPath,toadmeister,769,1,87056
Notyour28981739,HegKong,762,1,6799
waynerohde,SharylAttkisson,758,1,3724
rick_pittman,DrEliDavid,752,2,36202
ChildrensHD,RobertKennedyJr,750,1,83089
jorient,ezralevant,749,1,8044
ChildrensHD,RobertKennedyJr,747,1,78370
JeffereyJaxen,ianmSC,739,1,24273
jorient,SikhForTruth,736,1,8722
ChildrensHD,RobertKennedyJr,730,1,81473
EssexPR,ollysmithtravel,730,2,236929
ClareCraigPath,EssexPR,728,1,89534
HegKong,DrCharlesL,727,1,34410
ToniaBuxton,ClareCraigPath,726,2,108313
waynerohde,dockaurG,725,1,3720
JeffereyJaxen,DrJBhattacharya,724,1,27355
GenRescue,uTobian,723,1,20413
YardleyShooting,JamesMelville,722,1,56684
ChildrensHD,RobertKennedyJr,716,1,80489
lifebiomedguru,andrewbostom,711,1,38843
JenniferMarguli,NBSaphierMD,704,2,15873
SNCCLA,RepThomasMassie,699,1,4833
andrewbostom,MartinKulldorff,691,2,46415
robinmonotti,uTobian,685,1,22212
ritamollerpalma,RobertKennedyJr,680,1,4239
ClareCraigPath,backtolife_2022,678,2,119597
eileeniorio,SenRonJohnson,672,1,16849
JeffereyJaxen,MartyMakary,672,1,27345
HegKong,uTobian,652,1,15489
ChildrensHD,RobertKennedyJr,651,1,83856
ClareCraigPath,JamesMelville,649,1,90841
Believe_Mothers,JackPosobiec,648,1,5927
ClareCraigPath,JamesMelville,638,1,59014
TannersDad,RobertKennedyJr,637,1,19294
ClareCraigPath,rick_pittman,636,1,88982
jonrappoport,ElectionWiz,635,1,67832
jorient,YardleyShooting,633,1,7683
justiceforevee,RepThomasMassie,633,1,11933
backtolife_2022,MartinKulldorff,630,3,91016
sallyKP,uTobian,626,1,11848
barnes_law,DrJBhattacharya,619,2,238851
avoiceforchoice,RobertKennedyJr,617,1,8085
YardleyShooting,MaajidNawaz,615,1,65730
JeffereyJaxen,MichaelYeadon3,613,1,14255
ClareCraigPath,EssexPR,609,1,75207
SNCCLA,uTobian,601,1,4949
Notyour28981739,aginnt,600,1,10955
ClareCraigPath,MartinKulldorff,599,1,119299
JeffereyJaxen,MartinKulldorff,595,1,29515
JenniferMarguli,ScienceWDrDoug,594,1,14363
andrewbostom,ianmSC,594,2,46332
ToniaBuxton,drsimonegold,593,2,108758
HegKong,TonyHinton2016,585,1,31765
ritamollerpalma,delbigtree,580,1,4105
ClareCraigPath,DrAseemMalhotra,576,1,93313
JeffereyJaxen,MartyMakary,573,2,29887
jorient,kksheld,572,1,7355
SNCCLA,RobertKennedyJr,567,1,4815
eileeniorio,ElectionWiz,566,1,20538
ClareCraigPath,DrEliDavid,565,1,97260
MartinKulldorff,DrJBhattacharya,564,2,237780
avoiceforchoice,toadmeister,563,1,8317
ChildrensHD,RobertKennedyJr,561,1,88795
GenRescue,RobertKennedyJr,561,1,20635
Notyour28981739,forrestmaready,559,1,11898
HegKong,TonyHinton2016,557,1,31938
ChildrensHD,RobertKennedyJr,549,1,93089
ClareCraigPath,JuliaHB1,548,1,76728
akheriaty,DrJBhattacharya,543,2,130474
ClareCraigPath,TonyHinton2016,542,1,107255
avoiceforchoice,ClayTravis,542,1,8170
avoiceforchoice,SenRonJohnson,541,1,7572
danielkotzin,drsimonegold,541,2,29856
DrAseemMalhotra,akheriaty,538,2,185656
waynerohde,lifebiomedguru,537,1,3721
ClareCraigPath,DrHoenderkamp,534,1,88461
avoiceforchoice,HighWireTalk,532,1,8363
BeckyJohnson222,uTobian,527,1,4882
GenRescue,uTobian,526,1,20163
jorient,BusyDrT,523,1,8150
Notyour28981739,NBSaphierMD,520,1,12443
jorient,EssexPR,519,1,8276
ChildrensHD,RobertKennedyJr,511,1,84415
ChildrensHD,RobertKennedyJr,510,1,107733
ChildrensHD,RobertKennedyJr,501,1,90889
avoiceforchoice,DrJBhattacharya,501,1,8343
Believe_Mothers,SharylAttkisson,500,1,5846
ChildrensHD,RobertKennedyJr,498,1,87716
SNCCLA,justiceforevee,498,1,5631
SNCCLA,uTobian,496,1,4814
barnes_law,danielkotzin,496,2,240028
waynerohde,RobertKennedyJr,495,1,3775
